StudentId,Gender,Class,Score,Subject,ExamDate
P0000,F,class 4,82,English,11/2/2012
P0000,F,class 4,8,Math,11/2/2012
P0000,F,class 4,12,History,11/2/2012
P0000,F,class 4,83,English,10/3/2012
P0000,F,class 4,34,Math,10/3/2012
P0000,F,class 4,5,History,10/3/2012
P0000,F,class 4,65,English,9/3/2012
P0000,F,class 4,77,Math,9/3/2012
P0000,F,class 4,89,History,9/3/2012
P0000,F,class 4,80,English,8/4/2012
P0000,F,class 4,65,Math,8/4/2012
P0000,F,class 4,35,History,8/4/2012
P0000,F,class 4,52,English,7/5/2012
P0000,F,class 4,97,Math,7/5/2012
P0000,F,class 4,34,History,7/5/2012
P0000,F,class 4,48,English,6/5/2012
P0000,F,class 4,78,Math,6/5/2012
P0000,F,class 4,90,History,6/5/2012
P0000,F,class 4,18,English,5/6/2012
P0000,F,class 4,35,Math,5/6/2012
P0000,F,class 4,88,History,5/6/2012
P0000,F,class 4,73,English,4/6/2012
P0000,F,class 4,74,Math,4/6/2012
P0000,F,class 4,88,History,4/6/2012
P0000,F,class 4,87,English,3/7/2012
P0000,F,class 4,68,Math,3/7/2012
P0000,F,class 4,2,History,3/7/2012
P0000,F,class 4,80,English,2/6/2012
P0000,F,class 4,30,Math,2/6/2012
P0000,F,class 4,15,History,2/6/2012
P0000,F,class 4,78,English,1/7/2012
P0000,F,class 4,96,Math,1/7/2012
P0000,F,class 4,79,History,1/7/2012
P0000,F,class 4,42,English,12/8/2011
P0000,F,class 4,95,Math,12/8/2011
P0000,F,class 4,17,History,12/8/2011
P0000,F,class 4,27,English,11/8/2011
P0000,F,class 4,15,Math,11/8/2011
P0000,F,class 4,67,History,11/8/2011
P0000,F,class 4,57,English,10/9/2011
P0000,F,class 4,46,Math,10/9/2011
P0000,F,class 4,33,History,10/9/2011
P0000,F,class 4,55,English,9/9/2011
P0000,F,class 4,81,Math,9/9/2011
P0000,F,class 4,21,History,9/9/2011
P0000,F,class 4,40,English,8/10/2011
P0000,F,class 4,20,Math,8/10/2011
P0000,F,class 4,23,History,8/10/2011
P0000,F,class 4,60,English,7/11/2011
P0000,F,class 4,78,Math,7/11/2011
P0000,F,class 4,98,History,7/11/2011
P0000,F,class 4,67,English,6/11/2011
P0000,F,class 4,48,Math,6/11/2011
P0000,F,class 4,72,History,6/11/2011
P0000,F,class 4,57,English,5/12/2011
P0000,F,class 4,3,Math,5/12/2011
P0000,F,class 4,73,History,5/12/2011
P0000,F,class 4,74,English,4/12/2011
P0000,F,class 4,2,Math,4/12/2011
P0000,F,class 4,96,History,4/12/2011
P0000,F,class 4,50,English,3/13/2011
P0000,F,class 4,80,Math,3/13/2011
P0000,F,class 4,97,History,3/13/2011
P0000,F,class 4,39,English,2/11/2011
P0000,F,class 4,18,Math,2/11/2011
P0000,F,class 4,26,History,2/11/2011
P0000,F,class 4,73,English,1/12/2011
P0000,F,class 4,13,Math,1/12/2011
P0000,F,class 4,3,History,1/12/2011
P0000,F,class 4,6,English,12/13/2010
P0000,F,class 4,89,Math,12/13/2010
P0000,F,class 4,19,History,12/13/2010
P0000,F,class 4,38,English,11/13/2010
P0000,F,class 4,90,Math,11/13/2010
P0000,F,class 4,14,History,11/13/2010
P0000,F,class 4,23,English,10/14/2010
P0000,F,class 4,89,Math,10/14/2010
P0000,F,class 4,4,History,10/14/2010
P0000,F,class 4,18,English,9/14/2010
P0000,F,class 4,68,Math,9/14/2010
P0000,F,class 4,65,History,9/14/2010
P0000,F,class 4,63,English,8/15/2010
P0000,F,class 4,43,Math,8/15/2010
P0000,F,class 4,4,History,8/15/2010
P0000,F,class 4,45,English,7/16/2010
P0000,F,class 4,77,Math,7/16/2010
P0000,F,class 4,6,History,7/16/2010
P0000,F,class 4,65,English,6/16/2010
P0000,F,class 4,40,Math,6/16/2010
P0000,F,class 4,66,History,6/16/2010
P0001,F,class 3,64,English,11/2/2012
P0001,F,class 3,17,Math,11/2/2012
P0001,F,class 3,22,History,11/2/2012
P0001,F,class 3,39,English,10/3/2012
P0001,F,class 3,87,Math,10/3/2012
P0001,F,class 3,28,History,10/3/2012
P0001,F,class 3,86,English,9/3/2012
P0001,F,class 3,7,Math,9/3/2012
P0001,F,class 3,42,History,9/3/2012
P0001,F,class 3,22,English,8/4/2012
P0001,F,class 3,46,Math,8/4/2012
P0001,F,class 3,22,History,8/4/2012
P0001,F,class 3,89,English,7/5/2012
P0001,F,class 3,29,Math,7/5/2012
P0001,F,class 3,16,History,7/5/2012
P0001,F,class 3,64,English,6/5/2012
P0001,F,class 3,25,Math,6/5/2012
P0001,F,class 3,91,History,6/5/2012
P0001,F,class 3,64,English,5/6/2012
P0001,F,class 3,75,Math,5/6/2012
P0001,F,class 3,10,History,5/6/2012
P0001,F,class 3,27,English,4/6/2012
P0001,F,class 3,97,Math,4/6/2012
P0001,F,class 3,93,History,4/6/2012
P0001,F,class 3,54,English,3/7/2012
P0001,F,class 3,29,Math,3/7/2012
P0001,F,class 3,100,History,3/7/2012
P0001,F,class 3,25,English,2/6/2012
P0001,F,class 3,92,Math,2/6/2012
P0001,F,class 3,10,History,2/6/2012
P0001,F,class 3,60,English,1/7/2012
P0001,F,class 3,87,Math,1/7/2012
P0001,F,class 3,42,History,1/7/2012
P0001,F,class 3,61,English,12/8/2011
P0001,F,class 3,99,Math,12/8/2011
P0001,F,class 3,78,History,12/8/2011
P0001,F,class 3,33,English,11/8/2011
P0001,F,class 3,60,Math,11/8/2011
P0001,F,class 3,58,History,11/8/2011
P0001,F,class 3,80,English,10/9/2011
P0001,F,class 3,86,Math,10/9/2011
P0001,F,class 3,47,History,10/9/2011
P0001,F,class 3,82,English,9/9/2011
P0001,F,class 3,97,Math,9/9/2011
P0001,F,class 3,31,History,9/9/2011
P0001,F,class 3,88,English,8/10/2011
P0001,F,class 3,71,Math,8/10/2011
P0001,F,class 3,56,History,8/10/2011
P0001,F,class 3,16,English,7/11/2011
P0001,F,class 3,27,Math,7/11/2011
P0001,F,class 3,87,History,7/11/2011
P0001,F,class 3,8,English,6/11/2011
P0001,F,class 3,39,Math,6/11/2011
P0001,F,class 3,72,History,6/11/2011
P0001,F,class 3,76,English,5/12/2011
P0001,F,class 3,10,Math,5/12/2011
P0001,F,class 3,75,History,5/12/2011
P0001,F,class 3,19,English,4/12/2011
P0001,F,class 3,56,Math,4/12/2011
P0001,F,class 3,97,History,4/12/2011
P0001,F,class 3,53,English,3/13/2011
P0001,F,class 3,84,Math,3/13/2011
P0001,F,class 3,42,History,3/13/2011
P0001,F,class 3,27,English,2/11/2011
P0001,F,class 3,30,Math,2/11/2011
P0001,F,class 3,93,History,2/11/2011
P0001,F,class 3,82,English,1/12/2011
P0001,F,class 3,62,Math,1/12/2011
P0001,F,class 3,26,History,1/12/2011
P0001,F,class 3,70,English,12/13/2010
P0001,F,class 3,25,Math,12/13/2010
P0001,F,class 3,59,History,12/13/2010
P0001,F,class 3,61,English,11/13/2010
P0001,F,class 3,92,Math,11/13/2010
P0001,F,class 3,42,History,11/13/2010
P0001,F,class 3,62,English,10/14/2010
P0001,F,class 3,27,Math,10/14/2010
P0001,F,class 3,26,History,10/14/2010
P0001,F,class 3,77,English,9/14/2010
P0001,F,class 3,92,Math,9/14/2010
P0001,F,class 3,90,History,9/14/2010
P0001,F,class 3,96,English,8/15/2010
P0001,F,class 3,83,Math,8/15/2010
P0001,F,class 3,98,History,8/15/2010
P0001,F,class 3,92,English,7/16/2010
P0001,F,class 3,77,Math,7/16/2010
P0001,F,class 3,36,History,7/16/2010
P0001,F,class 3,56,English,6/16/2010
P0001,F,class 3,92,Math,6/16/2010
P0001,F,class 3,12,History,6/16/2010
P0002,F,class 2,74,English,11/2/2012
P0002,F,class 2,63,Math,11/2/2012
P0002,F,class 2,78,History,11/2/2012
P0002,F,class 2,40,English,10/3/2012
P0002,F,class 2,55,Math,10/3/2012
P0002,F,class 2,13,History,10/3/2012
P0002,F,class 2,99,English,9/3/2012
P0002,F,class 2,89,Math,9/3/2012
P0002,F,class 2,76,History,9/3/2012
P0002,F,class 2,51,English,8/4/2012
P0002,F,class 2,27,Math,8/4/2012
P0002,F,class 2,61,History,8/4/2012
P0002,F,class 2,38,English,7/5/2012
P0002,F,class 2,98,Math,7/5/2012
P0002,F,class 2,94,History,7/5/2012
P0002,F,class 2,27,English,6/5/2012
P0002,F,class 2,30,Math,6/5/2012
P0002,F,class 2,7,History,6/5/2012
P0002,F,class 2,56,English,5/6/2012
P0002,F,class 2,28,Math,5/6/2012
P0002,F,class 2,35,History,5/6/2012
P0002,F,class 2,3,English,4/6/2012
P0002,F,class 2,23,Math,4/6/2012
P0002,F,class 2,31,History,4/6/2012
